t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
2.586e-06,7.73527e-06,0.434352,283.288,56502.9,42946.9,7.73527e-06,-2.49235e-05
2.596e-06,7.73957e-06,0.42703,283.4,56430.9,42967.9,7.73957e-06,-2.46543e-05
2.606e-06,7.74381e-06,0.419623,283.513,56360.7,42991.2,7.74381e-06,-2.43825e-05
2.616e-06,7.74796e-06,0.412128,283.627,56292.5,43016.8,7.74796e-06,-2.41082e-05
2.626e-06,7.75205e-06,0.404545,283.741,56226.3,43044.7,7.75205e-06,-2.38313e-05
2.636e-06,7.75606e-06,0.396874,283.856,56161.9,43074.9,7.75606e-06,-2.35518e-05
2.646e-06,7.75999e-06,0.389114,283.972,56099.5,43107.4,7.75999e-06,-2.32696e-05
2.656e-06,7.76384e-06,0.381263,284.089,56039.1,43142.2,7.76384e-06,-2.29847e-05
2.666e-06,7.76761e-06,0.373322,284.207,55980.7,43179.3,7.76761e-06,-2.26971e-05
2.676e-06,7.7713e-06,0.36529,284.325,55924.2,43218.7,7.7713e-06,-2.24068e-05
2.686e-06,7.77492e-06,0.357165,284.445,55869.7,43260.4,7.77492e-06,-2.21136e-05
2.696e-06,7.77845e-06,0.348948,284.565,55817.3,43304.4,7.77845e-06,-2.18177e-05
2.706e-06,7.78189e-06,0.340637,284.686,55766.9,43350.6,7.78189e-06,-2.15189e-05
