t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
2.506e-06,5.6884e-06,-0.0553744,295.688,148357,121738,5.6884e-06,4.71779e-06
2.516e-06,5.68786e-06,-0.0529708,295.664,148387,121737,5.68786e-06,4.67162e-06
2.526e-06,5.68734e-06,-0.050522,295.638,148415,121736,5.68734e-06,4.62231e-06
2.536e-06,5.68685e-06,-0.0480312,295.61,148439,121733,5.68685e-06,4.56989e-06
2.546e-06,5.68638e-06,-0.0455019,295.58,148461,121730,5.68638e-06,4.51438e-06
2.556e-06,5.68594e-06,-0.0429375,295.548,148480,121726,5.68594e-06,4.45579e-06
2.566e-06,5.68552e-06,-0.0403415,295.516,148496,121721,5.68552e-06,4.39417e-06
2.576e-06,5.68513e-06,-0.0377173,295.481,148509,121715,5.68513e-06,4.32956e-06
2.586e-06,5.68477e-06,-0.0350686,295.445,148520,121708,5.68477e-06,4.26199e-06
2.596e-06,5.68443e-06,-0.0323988,295.407,148527,121701,5.68443e-06,4.19152e-06
2.606e-06,5.68412e-06,-0.0297113,295.367,148532,121693,5.68412e-06,4.1182e-06
2.616e-06,5.68384e-06,-0.0270099,295.327,148533,121684,5.68384e-06,4.04209e-06
2.626e-06,5.68358e-06,-0.0242978,295.284,148532,121674,5.68358e-06,3.96326e-06
2.636e-06,5.68335e-06,-0.0215787,295.24,148528,121664,5.68335e-06,3.88177e-06
2.646e-06,5.68315e-06,-0.0188559,295.195,148521,121652,5.68315e-06,3.7977e-06
2.656e-06,5.68297e-06,-0.0161329,295.149,148511,121640,5.68297e-06,3.71112e-06
2.666e-06,5.68283e-06,-0.013413,295.101,148499,121627,5.68283e-06,3.62212e-06
2.676e-06,5.68271e-06,-0.0106996,295.052,148484,121614,5.68271e-06,3.53078e-06
2.686e-06,5.68261e-06,-0.00799586,295.001,148466,121599,5.68261e-06,3.4372e-06
2.696e-06,5.68255e-06,-0.00530504,294.95,148445,121584,5.68255e-06,3.34146e-06
2.706e-06,5.68251e-06,-0.00263024,294.897,148422,121567,5.68251e-06,3.24366e-06
2.716e-06,5.68249e-06,2.54825e-05,294.843,148395,121551,5.68249e-06,3.1439e-06
2.726e-06,5.68251e-06,0.00265915,294.789,148367,121533,5.68251e-06,3.04227e-06
2.736e-06,5.68255e-06,0.00526789,294.733,148336,121514,5.68255e-06,2.93889e-06
2.746e-06,5.68261e-06,0.00784891,294.676,148302,121495,5.68261e-06,2.83386e-06
2.756e-06,5.6827e-06,0.0103995,294.619,148266,121475,5.6827e-06,2.72729e-06
2.766e-06,5.68282e-06,0.0129171,294.561,148228,121454,5.68282e-06,2.61928e-06
2.776e-06,5.68296e-06,0.0153992,294.502,148187,121432,5.68296e-06,2.50995e-06
2.786e-06,5.68313e-06,0.0178433,294.442,148144,121410,5.68313e-06,2.3994e-06
2.796e-06,5.68332e-06,0.0202474,294.382,148099,121386,5.68332e-06,2.28776e-06
2.806e-06,5.68353e-06,0.0226091,294.321,148051,121362,5.68353e-06,2.17513e-06
2.816e-06,5.68377e-06,0.0249264,294.26,148002,121337,5.68377e-06,2.06164e-06
2.826e-06,5.68403e-06,0.0271976,294.199,147951,121312,5.68403e-06,1.94738e-06
2.836e-06,5.68431e-06,0.0294206,294.137,147898,121285,5.68431e-06,1.83248e-06
2.846e-06,5.68462e-06,0.0315939,294.074,147842,121258,5.68462e-06,1.71705e-06
2.856e-06,5.68495e-06,0.033716,294.012,147786,121230,5.68495e-06,1.60121e-06
